Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
Dennis Schröder,31,BRK,PG,23,23,772,16.3,0.588,0.462,0.249,0.6,10,5.1,33.6,1.7,0.5,14.1,23.9,1.1,0.5,1.6,0.1,1.1,-1.2,-0.1,0.4,6.4,14.1,0.452,2.5,6.5,0.387,3.9,7.6,0.509,0.542,3.1,3.5,0.889,0.2,2.8,3,6.6,1.1,0.2,2.6,2.4,18.4,schrode01
Dennis Schröder,31,BRK,PG,23,23,772,16.3,0.588,0.462,0.249,0.6,10,5.1,33.6,1.7,0.5,14.1,23.9,1.1,0.5,1.6,0.1,1.1,-1.2,-0.1,0.4,3.9,10.5,0.375,1.5,4.8,0.322,2.4,5.7,0.419,0.448,1.2,1.6,0.744,0.4,1.9,2.3,4.4,1,0.1,2,2.8,10.6,schrode01
Dennis Schröder,31,GSW,SG,24,18,628,8.6,0.474,0.458,0.155,1.6,8,4.7,24.1,1.9,0.5,15.2,21.2,-0.5,0.6,0.1,0.006,-4.6,-0.9,-5.4,-0.5,5.1,12.3,0.418,2,5.6,0.358,3.1,6.6,0.469,0.501,2.1,2.6,0.842,0.3,2.3,2.6,5.5,1.1,0.1,2.3,2.6,14.4,schrode01
Dennis Schröder,31,GSW,SG,24,18,628,8.6,0.474,0.458,0.155,1.6,8,4.7,24.1,1.9,0.5,15.2,21.2,-0.5,0.6,0.1,0.006,-4.6,-0.9,-5.4,-0.5,6.4,14.1,0.452,2.5,6.5,0.387,3.9,7.6,0.509,0.542,3.1,3.5,0.889,0.2,2.8,3,6.6,1.1,0.2,2.6,2.4,18.4,schrode01
Dennis Schröder,31,GSW,SG,24,18,628,8.6,0.474,0.458,0.155,1.6,8,4.7,24.1,1.9,0.5,15.2,21.2,-0.5,0.6,0.1,0.006,-4.6,-0.9,-5.4,-0.5,3.9,10.5,0.375,1.5,4.8,0.322,2.4,5.7,0.419,0.448,1.2,1.6,0.744,0.4,1.9,2.3,4.4,1,0.1,2,2.8,10.6,schrode01
Malik Beasley,28,DET,SG,50,11,1389,15,0.589,0.705,0.127,2.2,9.5,5.9,10,1.6,0.1,7.4,22.8,1.8,1,2.8,0.098,2,-1.2,0.8,1,5.7,13.1,0.434,3.8,9.2,0.413,1.9,3.9,0.482,0.579,1.1,1.7,0.675,0.6,2.4,2.9,1.8,0.9,0,1.1,1.5,16.3,beaslma01
Jakob Poeltl,29,TOR,C,45,44,1389,19.2,0.624,0.004,0.255,12.3,23.8,18,13.8,1.8,4,14.6,18.2,2.4,1.7,4.1,0.142,0.3,0.8,1.1,1.1,6.2,10.2,0.61,0,0,0,6.2,10.2,0.613,0.61,1.7,2.6,0.658,3.5,6.6,10.1,2.8,1.2,1.3,1.9,3.3,14.2,poeltja01
Deni Avdija,24,POR,SF,48,30,1387,16.1,0.591,0.418,0.42,4.6,20.2,12.3,18,1.8,1.8,16.7,21.8,1.4,1.4,2.8,0.095,0.5,0.3,0.8,1,4.9,10.5,0.465,1.5,4.4,0.341,3.4,6.1,0.554,0.537,3.4,4.4,0.778,1.2,5.3,6.5,3.4,1,0.6,2.5,2.3,14.7,avdijde01
P.J. Washington,26,DAL,PF,42,41,1383,14.1,0.544,0.36,0.274,5.5,21.5,13.7,9.9,1.8,2.7,12.6,19.6,0.6,1.8,2.3,0.081,-0.8,0.4,-0.4,0.5,5.2,11.8,0.439,1.6,4.3,0.38,3.6,7.6,0.472,0.507,2.4,3.2,0.75,1.6,6.7,8.4,2.3,1.2,1,1.9,2.5,14.4,washipj01
Payton Pritchard,27,BOS,PG,50,0,1379,17.5,0.636,0.739,0.115,5.3,8.9,7.1,18,1.6,0.6,8.5,18.6,3.8,1.5,5.3,0.185,3.3,0.1,3.4,1.9,4.8,10.3,0.466,3.2,7.6,0.417,1.6,2.7,0.604,0.62,1,1.2,0.847,1.4,2.3,3.6,3.4,0.9,0.2,1,1.6,13.7,pritcpa01
Chris Paul,39,SAS,PG,47,47,1367,15.8,0.577,0.638,0.202,1.7,13.1,7.5,37.9,2.2,0.6,16.2,14.2,3,1.3,4.2,0.149,0.6,0.9,1.5,1.2,3.1,7.5,0.416,1.7,4.8,0.362,1.4,2.7,0.512,0.531,1.4,1.5,0.958,0.5,3.7,4.1,8.2,1.3,0.2,1.6,1.9,9.4,paulch01
RJ Barrett,24,TOR,SF,41,41,1365,16.6,0.549,0.303,0.31,3.3,18.7,11,27.2,1.2,0.9,13.3,28.8,0.6,0.9,1.5,0.054,1.2,-1,0.2,0.8,8.1,17.3,0.47,1.8,5.2,0.349,6.3,12,0.522,0.523,3.5,5.4,0.655,1,5.6,6.6,5.7,0.8,0.3,3,2.6,21.6,barrerj01
Norman Powell,31,LAC,SG,41,41,1360,19.8,0.638,0.466,0.281,1.2,10.7,6,11.4,2,0.6,9.8,27.2,2.8,1.8,4.5,0.16,3.4,0.1,3.5,1.9,8.3,16.7,0.499,3.4,7.8,0.434,5,8.9,0.555,0.6,3.9,4.7,0.829,0.4,3.2,3.6,2.2,1.3,0.2,2,1.9,24,powelno01
Victor Wembanyama,21,SAS,C,41,41,1357,24.5,0.596,0.477,0.214,5.6,28.7,17.3,19.3,1.6,10.4,14.2,31,1,2.8,3.7,0.132,3.8,3.2,7,3.1,9,18.9,0.477,3.2,9,0.358,5.8,9.9,0.585,0.562,3.4,4,0.843,1.7,9.1,10.9,3.7,1.1,3.9,3.4,2.2,24.6,wembavi01
Jalen Wilson,24,BRK,PF,49,15,1350,8.6,0.522,0.539,0.236,4.2,10.6,7.3,10.5,1,0.1,11.1,16.4,0.2,0.5,0.7,0.026,-3.2,-1.4,-4.6,-0.9,3.3,8.3,0.394,1.4,4.5,0.311,1.9,3.8,0.492,0.478,1.6,2,0.833,1,2.4,3.5,1.9,0.5,0,1.1,2.2,9.6,wilsoja03
Josh Giddey,22,CHI,PG,47,47,1350,15.5,0.537,0.372,0.209,5.9,20.4,13.3,31.4,1.8,1.5,19.7,20.1,0.9,1.3,2.3,0.081,0.1,0.6,0.7,0.9,4.6,10.2,0.447,1.3,3.8,0.331,3.3,6.4,0.515,0.508,1.6,2.1,0.75,1.6,5.7,7.3,6.6,1.1,0.5,2.7,1.6,12,giddejo01
Luguentz Dort,25,OKC,SF,46,46,1336,11.5,0.582,0.682,0.104,5.5,10.4,8,7.4,1.7,2.3,7.8,13.5,1.7,2.3,4,0.144,-0.7,0.9,0.2,0.8,3.4,8.1,0.422,2.3,5.5,0.42,1.1,2.6,0.429,0.566,0.7,0.8,0.821,1.5,2.9,4.3,1.7,1,0.7,0.7,3.1,9.9,dortlu01
Jrue Holiday,34,BOS,PG,44,44,1330,13,0.564,0.56,0.149,4,11.8,7.9,16.8,1.6,1.3,12.1,15.9,1.7,1.6,3.3,0.119,-0.4,0.6,0.2,0.8,4,9.1,0.438,1.8,5.1,0.342,2.3,4,0.559,0.534,1.2,1.4,0.9,1.1,3.3,4.4,3.7,1,0.4,1.3,1.6,11,holidjr01
Russell Westbrook,36,DEN,PG,48,27,1328,16,0.556,0.337,0.31,5.7,14.2,10.2,30.5,2.6,1.6,20.7,22.5,0.8,1.4,2.2,0.081,0.1,0.3,0.4,0.8,4.9,10.3,0.477,1.1,3.5,0.331,3.8,6.8,0.55,0.532,2,3.2,0.641,1.4,3.7,5.1,6.4,1.5,0.5,3,2.5,13,westbru01
Harrison Barnes,32,SAS,PF,47,47,1319,14,0.642,0.468,0.354,5.4,9.4,7.4,9,0.6,0.7,6.4,14.7,2.9,0.5,3.4,0.124,1,-1.4,-0.4,0.5,4,7.9,0.503,1.5,3.7,0.416,2.4,4.2,0.579,0.6,2.2,2.8,0.802,1.4,2.5,4,1.8,0.3,0.2,0.6,1,11.7,barneha02
Malik Monk,26,SAC,SG,41,28,1315,16.6,0.564,0.467,0.201,1.3,11.8,6.5,26.7,1.5,1.8,11.4,24.2,1.8,1,2.8,0.104,1.4,-0.6,0.8,0.9,6.7,14.8,0.449,2.3,6.9,0.331,4.4,7.9,0.552,0.526,2.6,3,0.877,0.4,3.4,3.8,5.9,1,0.6,2.1,2.6,18.2,monkma01
Evan Mobley,23,CLE,PF,44,44,1314,22.2,0.638,0.225,0.324,7.9,24.7,16.5,13.6,1.4,4.3,11.7,22.9,3.3,2.2,5.5,0.201,2.8,1.2,4,2,7,12.3,0.564,1.1,2.8,0.385,5.9,9.6,0.615,0.607,3,4,0.756,2.1,6.9,9,2.8,0.9,1.4,1.9,2,18,mobleev01
Collin Sexton,26,UTA,SG,46,44,1313,16.8,0.6,0.338,0.288,4.1,6.9,5.6,24.1,1.1,0.3,14.2,26.2,2.3,0,2.3,0.084,1.8,-2.5,-0.6,0.5,6.5,13.6,0.478,1.9,4.6,0.412,4.6,9,0.511,0.547,3.5,3.9,0.894,1.1,1.8,2.9,4.1,0.7,0.1,2.5,2.3,18.3,sextoco01
Jaylen Wells,21,MEM,SG,50,45,1310,11.3,0.58,0.547,0.194,4.4,8.3,6.4,8.4,1,0.4,8.9,16.4,1.7,1,2.8,0.102,-0.5,-0.9,-1.5,0.2,4,9.1,0.444,1.9,5,0.379,2.1,4.1,0.522,0.547,1.5,1.8,0.841,1.1,2.1,3.2,1.7,0.6,0.1,1,1.8,11.4,wellsja01
Shaedon Sharpe,21,POR,SG,43,31,1309,13.6,0.547,0.423,0.22,2.5,11.4,6.9,12.8,1.3,0.7,10.7,24.4,0.7,0.6,1.3,0.047,-0.6,-1.7,-2.3,-0.1,6.4,14.3,0.444,1.9,6.1,0.318,4.4,8.3,0.537,0.511,2.6,3.2,0.809,0.7,3.1,3.8,2.4,0.8,0.2,1.9,1.9,17.2,sharpsh01
Tim Hardaway Jr.,32,DET,SG,46,46,1308,9.5,0.576,0.655,0.245,0.9,7.7,4.3,7.4,0.8,0.1,7.1,15,1.3,0.6,1.9,0.069,-1.6,-1.2,-2.8,-0.3,3.5,8.4,0.415,2.1,5.5,0.374,1.4,2.9,0.493,0.537,1.7,2.1,0.821,0.2,2,2.2,1.6,0.5,0,0.7,1.3,10.8,hardati02
Rui Hachimura,26,LAL,PF,41,41,1307,13.6,0.613,0.394,0.189,5.5,12.5,9.1,6.6,1.3,1.5,8.1,15.8,1.8,1,2.8,0.104,-0.3,-0.7,-1,0.3,4.9,9.7,0.505,1.6,3.8,0.429,3.2,5.9,0.554,0.59,1.4,1.8,0.787,1.5,3.6,5.1,1.5,0.9,0.5,0.9,1.8,12.8,hachiru01
Jordan Poole,25,WAS,SG,42,42,1304,15.4,0.574,0.577,0.266,1.5,8.9,5.1,25.6,2.2,1.5,16,28.2,0.2,0.4,0.7,0.024,1.1,-1.5,-0.4,0.5,6.5,15.8,0.414,3.6,9.1,0.391,3,6.7,0.445,0.526,3.6,4.2,0.864,0.5,2.6,3.1,4.8,1.5,0.5,3.4,3.2,20.3,poolejo01
Andrew Wiggins,29,GSW,SF,43,43,1296,16.6,0.566,0.422,0.304,5.2,11,8,12.1,1.5,2.4,7.7,23.5,1.8,1.3,3.1,0.116,1.5,-0.6,0.9,1,6.1,13.7,0.444,2.2,5.8,0.379,3.9,7.9,0.491,0.524,3.2,4.2,0.777,1.5,3,4.6,2.3,0.9,0.8,1.3,1.6,17.6,wiggian01
Gradey Dick,21,TOR,SG,43,43,1284,11.9,0.556,0.499,0.241,2.6,9.4,6,9.7,1.4,0.6,10,22.1,0.6,0.5,1.2,0.043,-1.1,-1.8,-2.9,-0.3,5.3,12.7,0.42,2.2,6.3,0.352,3.1,6.4,0.489,0.508,2.7,3.1,0.886,0.7,2.5,3.3,2,0.8,0.2,1.6,2.3,15.7,dickgr01
Jalen Johnson,23,ATL,SF,36,36,1284,17.4,0.569,0.26,0.232,5,25.7,15,21.3,2,2.6,15.1,22.3,0.8,1.6,2.4,0.091,0.3,1.3,1.6,1.2,7.5,15.1,0.5,1.2,3.9,0.312,6.3,11.1,0.566,0.541,2.6,3.5,0.746,1.7,8.3,10,5,1.6,1,2.9,1.9,18.9,johnsja05
Scottie Barnes,23,TOR,PF,37,37,1277,18,0.534,0.291,0.268,5.1,20.4,12.7,28.5,2,2.6,13.9,26.9,0.7,1.3,2,0.076,1.7,0.5,2.3,1.4,7.7,16.9,0.454,1.4,4.9,0.275,6.3,12,0.527,0.494,3.5,4.5,0.768,1.6,6.4,8,6.4,1.4,0.9,3.1,2.1,20.2,barnesc01
Amir Coffey,27,LAC,SG,49,11,1275,11.1,0.616,0.492,0.239,2.1,8.2,5.2,6.2,1.1,0.5,8.2,14.9,1.7,1.3,2.9,0.11,-1.4,-0.1,-1.6,0.1,3.5,7.4,0.473,1.5,3.7,0.413,2,3.8,0.53,0.574,1.6,1.8,0.897,0.5,1.9,2.4,1.1,0.6,0.1,0.7,1.6,10.1,coffeam01
Yves Missi,20,NOP,C,47,41,1274,15.3,0.582,0.003,0.439,13.6,18.7,16.1,7.3,1,5,13.8,13.5,1.8,0.7,2.5,0.094,-1.8,-1.2,-3,-0.3,3.4,6.3,0.551,0,0,0,3.4,6.2,0.553,0.551,1.8,2.7,0.651,3.6,4.5,8.1,1.4,0.6,1.5,1.2,2.1,8.7,missiyv01
Stephen Curry,36,GSW,PG,40,40,1271,19.9,0.6,0.619,0.199,1.6,13.8,7.5,31.8,1.7,1.4,13.6,28.2,2.3,1.3,3.6,0.137,5.3,-0.3,5,2.3,7.4,17,0.437,4.2,10.5,0.395,3.3,6.5,0.504,0.559,3.2,3.4,0.941,0.5,4,4.5,6.2,1.1,0.5,2.9,1.2,22.1,curryst01
Josh Green,24,CHO,SG,44,43,1263,8.4,0.578,0.579,0.18,3.6,7.1,5.3,7.4,1.9,0.9,12,10.9,0.8,0.9,1.8,0.067,-3.9,0.4,-3.5,-0.5,2.7,6,0.44,1.5,3.5,0.416,1.2,2.5,0.473,0.56,0.8,1.1,0.708,1,1.8,2.8,1.5,1.1,0.3,0.9,2.7,7.5,greenjo02
Cason Wallace,21,OKC,SG,46,32,1259,11.2,0.524,0.433,0.058,4.3,9.1,6.7,10.9,3.1,2.1,9.6,11.9,0.8,2.6,3.4,0.13,-2.3,2.9,0.6,0.8,3,6.8,0.442,1,2.9,0.333,2,3.8,0.525,0.514,0.3,0.4,0.778,1.1,2.4,3.5,2.4,1.8,0.6,0.7,2.2,7.3,wallaca01
Guerschon Yabusele,29,PHI,C,47,25,1258,15.4,0.639,0.485,0.237,7.8,17.1,12.2,11.6,1.4,1.5,13,16.5,2.3,0.9,3.2,0.121,0.7,-0.7,-0.1,0.6,4.1,7.9,0.523,1.5,3.8,0.4,2.6,4.1,0.639,0.62,1.4,1.9,0.727,1.9,3.7,5.6,2,0.8,0.4,1.3,2.5,11.1,yabusgu01
Terry Rozier,30,MIA,PG,44,21,1256,11.1,0.513,0.475,0.172,3,12.6,7.9,15.6,1,1,11,20.5,-0.1,1,0.9,0.034,-2.3,-1.4,-3.7,-0.5,4.5,11,0.407,1.5,5.2,0.297,2.9,5.8,0.506,0.477,1.6,1.9,0.867,0.8,3.4,4.1,3,0.6,0.3,1.5,1.4,12.1,roziete01
Jerami Grant,30,POR,PF,39,39,1255,11.8,0.537,0.501,0.295,1.9,9.5,5.6,10.1,1.1,2.9,8.7,19.7,0.9,0.6,1.5,0.059,-0.6,-0.9,-1.4,0.2,4.7,12.2,0.385,2.3,6.1,0.382,2.4,6.1,0.388,0.481,3.1,3.6,0.85,0.6,2.7,3.3,2.2,0.7,1,1.3,2.3,14.8,grantje01
Naz Reid,25,MIN,C,49,2,1253,16.9,0.615,0.493,0.168,4,17.7,11,11.1,1.4,3,9.5,21.2,2,1.8,3.8,0.146,1.6,1,2.6,1.4,5.1,10.5,0.489,2.2,5.2,0.423,2.9,5.3,0.554,0.594,1.4,1.8,0.791,0.9,4.1,5,1.8,0.7,0.8,1.2,2.3,13.8,reidna01
CJ McCollum,33,NOP,PG,37,37,1240,16.3,0.552,0.447,0.182,2.1,10.1,5.9,19.5,1.1,1.5,7.8,27.3,1.2,0.1,1.3,0.05,1.5,-2.6,-1.1,0.3,8.3,18.5,0.448,3.1,8.3,0.373,5.2,10.2,0.509,0.531,2.4,3.4,0.712,0.7,3,3.7,3.8,0.8,0.5,1.7,2.4,22.1,mccolcj01
Taurean Prince,30,MIL,SF,48,41,1230,9.8,0.607,0.645,0.084,2.3,12.9,7.8,10.5,1.5,0.5,13.6,12.2,0.9,1.1,2,0.079,-1.9,0,-2,0,2.7,6,0.449,1.8,3.9,0.454,0.9,2.1,0.441,0.596,0.4,0.5,0.792,0.5,3.2,3.7,2.1,0.8,0.1,1,2,7.5,princta02
Ochai Agbaji,24,TOR,SG,44,34,1227,12.1,0.614,0.479,0.085,3.3,11.2,7.2,8.1,1.5,2.1,8.5,13.8,1.4,0.7,2.1,0.081,-0.4,0,-0.4,0.5,4.1,8.1,0.513,1.5,3.9,0.4,2.6,4.2,0.616,0.608,0.5,0.7,0.667,0.8,2.8,3.7,1.6,0.8,0.6,0.8,2,10.3,agbajoc01
Spencer Dinwiddie,31,DAL,PG,49,18,1223,13,0.552,0.503,0.355,1,9.3,5.2,20.3,1.7,0.7,10.8,17.4,1.7,0.9,2.5,0.099,-0.7,-0.2,-0.9,0.3,3.2,7.9,0.404,1.3,4,0.335,1.9,3.9,0.474,0.488,2.4,2.8,0.847,0.2,2.2,2.4,3.8,0.9,0.2,1.1,1.5,10.1,dinwisp01
Ayo Dosunmu,25,CHI,SG,40,22,1221,13.3,0.587,0.421,0.173,2.2,10.2,6.2,20.8,1.3,1.3,10.9,16.3,1.8,0.7,2.5,0.097,-1,-0.4,-1.4,0.2,4.8,9.9,0.49,1.5,4.2,0.349,3.4,5.7,0.592,0.563,1.4,1.7,0.794,0.6,3,3.7,4.7,0.8,0.5,1.3,2.3,12.5,dosunay01
Tristan Da Silva,23,ORL,SF,47,35,1216,9.9,0.527,0.499,0.128,5.4,13.3,9.1,10.2,0.9,0.9,10.4,15.1,0.5,1.3,1.8,0.071,-2.2,-0.5,-2.7,-0.2,3.2,7.6,0.421,1.3,3.8,0.33,2,3.8,0.511,0.503,0.8,1,0.848,1.3,2.8,4,1.7,0.5,0.2,0.9,1.5,8.5,dasiltr01
Jalen Duren,21,DET,C,47,47,1211,20.1,0.711,0,0.417,15.1,27.8,21.5,13,1.2,4.4,20,15.6,3,1.8,4.8,0.191,0.5,1.1,1.6,1.1,4.5,6.4,0.703,0,0,,4.5,6.4,0.703,0.703,1.8,2.7,0.664,3.5,6.5,10,2.3,0.6,1.2,1.9,3.2,10.7,durenja01
Derrick Jones Jr.,27,LAC,SF,48,45,1207,14,0.605,0.348,0.171,6.1,10.2,8.2,5.3,2.4,1.6,9.6,16.4,1.4,1.8,3.2,0.127,-0.9,1,0.1,0.6,4.2,8,0.519,1,2.8,0.366,3.1,5.2,0.602,0.583,1.1,1.4,0.788,1.4,2.3,3.7,0.9,1.2,0.4,0.9,2,10.4,jonesde02
Trey Murphy III,24,NOP,SF,34,32,1205,19.3,0.624,0.54,0.283,2.7,13.1,7.7,13.9,1.7,2,8.1,23.4,2.9,0.4,3.3,0.129,3.4,-1.2,2.3,1.3,7.6,16.1,0.473,3.3,8.7,0.382,4.3,7.4,0.579,0.576,4.1,4.6,0.89,0.9,4.1,5,3.1,1.2,0.8,1.6,2.3,22.6,murphtr02
Desmond Bane,26,MEM,SG,40,39,1203,18.2,0.606,0.409,0.181,3.4,16.3,10,25.1,1.8,1.3,14.3,22.8,2.3,1.6,3.9,0.157,2.7,0.8,3.5,1.7,6.8,13.7,0.498,2.2,5.6,0.384,4.7,8.1,0.577,0.577,2.1,2.5,0.859,1,4.7,5.7,5.5,1.2,0.4,2.5,2.4,17.9,banede01
Klay Thompson,34,DAL,SF,44,44,1199,12.6,0.556,0.661,0.08,2.7,10.8,6.8,10.5,1.5,1.4,10.8,21.1,0.5,0.9,1.3,0.054,0.8,-1.1,-0.4,0.5,4.8,11.7,0.411,3,7.7,0.389,1.8,4,0.454,0.54,0.8,0.9,0.902,0.7,2.8,3.5,2,0.8,0.4,1.5,1.2,13.4,thompkl01
Julian Champagnie,23,SAS,SF,47,26,1194,11.6,0.577,0.74,0.125,3.4,14.1,8.8,6.8,1.4,1.5,10.1,17,0.6,0.9,1.5,0.062,-0.7,-0.7,-1.4,0.2,3.6,8.7,0.418,2.3,6.4,0.365,1.3,2.3,0.566,0.553,1,1.1,0.902,0.8,3.4,4.3,1.2,0.7,0.4,1,1.4,10.6,champju02
Keyonte George,21,UTA,PG,38,32,1188,12.6,0.529,0.557,0.277,1.6,11,6.3,28.4,1.1,0.6,15.9,24.4,0.4,0.1,0.5,0.021,-0.3,-2.5,-2.8,-0.2,5.3,13.6,0.389,2.6,7.6,0.337,2.7,6,0.454,0.483,3,3.8,0.804,0.4,3.2,3.6,5.8,0.7,0.2,2.9,1.8,16.2,georgke01
Max Christie,21,2TM,SG,47,25,1186,10.9,0.604,0.564,0.301,2.6,9.7,6.3,7.8,1.5,1.6,10.9,14,1.1,0.9,2,0.08,-1.6,-0.2,-1.8,0.1,2.8,6.3,0.449,1.4,3.6,0.383,1.5,2.7,0.535,0.557,1.6,1.9,0.843,0.6,2.2,2.8,1.5,0.8,0.4,0.9,1.6,8.6,chrisma02
Max Christie,21,2TM,SG,47,25,1186,10.9,0.604,0.564,0.301,2.6,9.7,6.3,7.8,1.5,1.6,10.9,14,1.1,0.9,2,0.08,-1.6,-0.2,-1.8,0.1,2.8,6.3,0.444,1.3,3.5,0.368,1.5,2.7,0.544,0.549,1.6,1.9,0.851,0.5,2.1,2.7,1.4,0.8,0.5,0.8,1.6,8.5,chrisma02
Max Christie,21,2TM,SG,47,25,1186,10.9,0.604,0.564,0.301,2.6,9.7,6.3,7.8,1.5,1.6,10.9,14,1.1,0.9,2,0.08,-1.6,-0.2,-1.8,0.1,5,8,0.625,4,4,1,1,4,0.25,0.875,1,2,0.5,2,7,9,3,1,0,2,2,15,chrisma02
Max Christie,21,LAL,SG,46,25,1154,10.7,0.598,0.566,0.302,2.5,9.4,6,7.7,1.5,1.7,10.7,14,1,0.8,1.8,0.077,-1.8,-0.2,-2,0,2.8,6.3,0.449,1.4,3.6,0.383,1.5,2.7,0.535,0.557,1.6,1.9,0.843,0.6,2.2,2.8,1.5,0.8,0.4,0.9,1.6,8.6,chrisma02
Max Christie,21,LAL,SG,46,25,1154,10.7,0.598,0.566,0.302,2.5,9.4,6,7.7,1.5,1.7,10.7,14,1,0.8,1.8,0.077,-1.8,-0.2,-2,0,2.8,6.3,0.444,1.3,3.5,0.368,1.5,2.7,0.544,0.549,1.6,1.9,0.851,0.5,2.1,2.7,1.4,0.8,0.5,0.8,1.6,8.5,chrisma02
Max Christie,21,LAL,SG,46,25,1154,10.7,0.598,0.566,0.302,2.5,9.4,6,7.7,1.5,1.7,10.7,14,1,0.8,1.8,0.077,-1.8,-0.2,-2,0,5,8,0.625,4,4,1,1,4,0.25,0.875,1,2,0.5,2,7,9,3,1,0,2,2,15,chrisma02
Max Christie,21,DAL,SG,1,0,32,19.4,0.845,0.5,0.25,6.9,23,15.2,13.1,1.5,0,18.4,14.5,0.1,0,0.1,0.198,5.1,0.9,6.1,0.1,2.8,6.3,0.449,1.4,3.6,0.383,1.5,2.7,0.535,0.557,1.6,1.9,0.843,0.6,2.2,2.8,1.5,0.8,0.4,0.9,1.6,8.6,chrisma02
Max Christie,21,DAL,SG,1,0,32,19.4,0.845,0.5,0.25,6.9,23,15.2,13.1,1.5,0,18.4,14.5,0.1,0,0.1,0.198,5.1,0.9,6.1,0.1,2.8,6.3,0.444,1.3,3.5,0.368,1.5,2.7,0.544,0.549,1.6,1.9,0.851,0.5,2.1,2.7,1.4,0.8,0.5,0.8,1.6,8.5,chrisma02
Max Christie,21,DAL,SG,1,0,32,19.4,0.845,0.5,0.25,6.9,23,15.2,13.1,1.5,0,18.4,14.5,0.1,0,0.1,0.198,5.1,0.9,6.1,0.1,5,8,0.625,4,4,1,1,4,0.25,0.875,1,2,0.5,2,7,9,3,1,0,2,2,15,chrisma02
Nickeil Alexander-Walker,26,MIN,SG,50,4,1184,10.8,0.577,0.601,0.147,2.8,10.5,6.7,14.6,1.3,1.2,14.2,16.2,0.8,1.2,2.1,0.084,-1.4,0.2,-1.2,0.2,3.1,7.1,0.442,1.7,4.2,0.396,1.4,2.8,0.511,0.561,0.8,1,0.731,0.6,2.3,2.9,2.4,0.6,0.3,1.2,1.7,8.7,alexani01
Lauri Markkanen,27,UTA,PF,37,37,1179,16.6,0.579,0.58,0.304,5.8,15.4,10.7,8.5,1.1,1.2,7.7,23.8,2.1,0.3,2.4,0.099,2.5,-2,0.6,0.8,6.2,14.7,0.424,3,8.5,0.352,3.2,6.2,0.522,0.526,3.8,4.5,0.861,1.7,4.5,6.2,1.7,0.7,0.4,1.4,1.8,19.3,markkla01
Stephon Castle,20,SAS,PG,46,29,1178,11,0.498,0.361,0.299,3.5,8.1,5.8,21.2,1.5,0.8,13.6,23.6,-0.5,0.7,0.2,0.006,-3,-1.5,-4.5,-0.8,4.4,10.8,0.407,1.1,3.9,0.278,3.3,6.9,0.48,0.457,2.3,3.2,0.711,0.8,2,2.8,3.7,0.8,0.2,1.9,1.8,12.2,castlst01
Scoot Henderson,20,POR,PG,44,8,1172,14.1,0.556,0.402,0.327,3,9.9,6.4,29.7,2.1,0.9,18.7,22.3,0.8,0.8,1.6,0.064,-0.5,-0.7,-1.2,0.2,4.3,10,0.434,1.5,4,0.367,2.9,6,0.479,0.508,2.6,3.3,0.785,0.7,2.4,3.1,5.3,1.1,0.3,2.6,2.7,12.7,hendesc01
Corey Kispert,25,WAS,SF,44,0,1170,11,0.577,0.585,0.15,2.4,9.3,5.8,9,1,0.8,9.6,17.1,0.7,0,0.7,0.027,-1.7,-2.1,-3.8,-0.5,4.1,9.3,0.447,1.9,5.4,0.353,2.2,3.8,0.58,0.55,1.2,1.4,0.869,0.6,2.3,3,1.6,0.6,0.2,1,1.6,11.4,kispeco01
Anthony Black,21,ORL,PG,47,9,1168,9.7,0.497,0.303,0.356,2.4,10.3,6.1,21,2,2.1,17.8,18.9,-0.8,1.6,0.9,0.036,-4.1,0.8,-3.4,-0.4,3.1,7.7,0.403,0.6,2.3,0.266,2.5,5.3,0.462,0.443,2,2.7,0.742,0.6,2.1,2.6,3.4,1,0.5,1.9,2.3,8.8,blackan01
Bradley Beal,31,PHO,SG,36,23,1168,14.9,0.594,0.385,0.188,2.5,8.8,5.8,16.2,1.7,1.8,12.2,22.4,1,0.6,1.6,0.067,-0.3,-1,-1.2,0.2,6.6,13.3,0.492,2.1,5.1,0.4,4.5,8.2,0.549,0.569,2,2.5,0.789,0.7,2.7,3.4,3.4,1.1,0.6,2,2.6,17.1,bealbr01
Peyton Watson,22,DEN,SF,48,12,1158,12,0.568,0.316,0.34,3.9,11.5,7.8,7.6,1.7,4.5,11.2,14.1,0.9,1.1,2,0.082,-1.7,0.4,-1.3,0.2,2.9,6.2,0.471,0.7,2,0.34,2.3,4.2,0.532,0.525,1.6,2.1,0.752,0.8,2.6,3.4,1.5,0.9,1.2,0.9,1.7,8.1,watsope01
Nic Claxton,25,BRK,C,43,35,1138,15.7,0.556,0.041,0.299,8.2,25,16.3,12.2,1.8,4.7,11.9,16.9,0.8,1.5,2.3,0.098,-1.5,1.4,-0.1,0.5,4.3,7.9,0.548,0,0.3,0.071,4.3,7.6,0.569,0.55,1.3,2.4,0.529,2,5.5,7.5,2,0.9,1.2,1.2,2.1,10,claxtni01
