Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
Devin Booker,28,PHO,SG,44,44,1631,20.6,0.592,0.414,0.373,2.9,8.9,6,29.5,1.5,0.7,10.5,29.4,4.2,0.6,4.8,0.141,3.5,-1.9,1.6,1.5,8.5,18.9,0.451,2.7,7.8,0.345,5.8,11.1,0.527,0.523,6.3,7.1,0.894,1,3.1,4,6.7,1.1,0.3,2.6,2.4,26.1,bookede01
Pascal Siakam,30,IND,PF,49,49,1621,20.1,0.615,0.281,0.257,6.2,18.3,12.4,15.8,1.3,1.3,7.4,23.5,4,1.4,5.4,0.159,2.8,-0.6,2.3,1.7,7.9,14.9,0.53,1.7,4.2,0.403,6.2,10.7,0.58,0.587,2.9,3.8,0.761,1.8,5.5,7.3,3.4,0.9,0.5,1.3,2.6,20.4,siakapa01
Derrick White,30,BOS,SG,48,48,1621,16,0.599,0.705,0.166,3.1,10.5,6.8,17.8,1.3,3.1,10.4,19.4,3,2,5,0.147,2.4,0.5,2.8,2,5.5,12.6,0.44,3.4,8.9,0.38,2.2,3.7,0.584,0.575,1.7,2.1,0.82,1,3.3,4.2,4.2,0.9,1.2,1.6,1.9,16.2,whitede01
Keegan Murray,24,SAC,PF,46,46,1619,11.3,0.537,0.518,0.098,6.8,15.3,11.1,5.2,1.1,2.3,7.1,14.7,1.2,1.3,2.5,0.074,-1.4,-1,-2.3,-0.1,4.7,10.8,0.436,1.8,5.6,0.326,2.9,5.2,0.554,0.52,0.9,1.1,0.816,2.2,4.9,7.1,1.4,0.8,0.8,0.9,2.7,12.1,murrake02
Nikola Vučević,34,CHI,C,50,50,1614,21.2,0.63,0.316,0.149,7.8,25.4,16.7,17,1.3,1.9,9.4,22.3,3.9,1.7,5.6,0.167,3,0,2.9,2,8,14.7,0.548,1.9,4.6,0.401,6.2,10,0.616,0.611,1.8,2.2,0.807,2.4,8,10.4,3.5,0.9,0.7,1.6,2.4,19.7,vucevni01
Shai Gilgeous-Alexander,26,OKC,PG,47,47,1604,31,0.644,0.263,0.393,2.8,13.3,8.1,30.6,2.8,3.1,9.8,34.8,7.1,3.5,10.6,0.317,8.6,3.3,11.9,5.7,11.4,21.5,0.533,2,5.7,0.35,9.5,15.8,0.598,0.579,7.6,8.4,0.899,0.9,4.3,5.2,6,2,1,2.7,2.2,32.5,gilgesh01
Nikola Jokić,29,DEN,C,44,44,1600,33.1,0.66,0.221,0.319,9.9,28.2,19.5,45.1,2.4,1.7,12.3,29.7,8.4,2.4,10.8,0.324,10.7,3.4,14.1,6.5,11.2,19.6,0.571,2,4.3,0.466,9.2,15.3,0.6,0.622,5.1,6.3,0.815,3.1,9.8,12.9,10.3,1.8,0.7,3.1,2.1,29.5,jokicni01
Christian Braun,23,DEN,SG,49,47,1599,15.1,0.654,0.269,0.267,4.5,11.4,8.1,8,1.6,1.4,8.3,15.6,3.3,1.1,4.4,0.133,0.2,-0.7,-0.5,0.6,5.6,9.9,0.569,1,2.7,0.377,4.6,7.2,0.64,0.62,2.2,2.6,0.829,1.3,3.5,4.8,2,1.1,0.5,1,2.2,14.4,braunch01
Karl-Anthony Towns,29,NYK,C,46,46,1597,25,0.64,0.281,0.347,10.7,33.7,22.4,14.5,1.4,2.1,11.6,26.8,5.1,2.4,7.5,0.226,4.4,0.1,4.5,2.6,8.8,16.5,0.532,2,4.6,0.423,6.8,11.9,0.575,0.592,4.8,5.7,0.84,3.2,10.4,13.6,3.3,1,0.8,2.5,3.5,24.3,townska01
Tyrese Maxey,24,PHI,PG,42,42,1597,21.2,0.573,0.444,0.274,0.8,10.3,5.3,29.4,2.5,1.1,9.3,31,3.1,1.2,4.2,0.128,4.2,-0.8,3.4,2.2,9.6,21.6,0.446,3.3,9.6,0.347,6.3,12,0.525,0.523,5.2,5.9,0.871,0.3,3.2,3.5,6.2,1.9,0.4,2.5,2.3,27.8,maxeyty01
Fred VanVleet,30,HOU,PG,45,45,1596,13.6,0.521,0.595,0.174,1.9,10,5.8,22.6,2.2,1.1,10,18.1,2.1,2.2,4.3,0.129,0.2,1.3,1.4,1.4,5,13,0.387,2.7,7.8,0.344,2.4,5.3,0.45,0.489,1.9,2.3,0.824,0.7,3.2,3.9,5.8,1.6,0.4,1.6,2.4,14.6,vanvlfr01
Bam Adebayo,27,MIA,C,47,47,1594,17.7,0.535,0.188,0.303,8,23.7,15.9,21.5,1.9,2.2,12.5,22.8,1.4,2.4,3.8,0.114,-0.1,0.9,0.9,1.1,6.3,13.5,0.47,0.7,2.5,0.286,5.6,11,0.513,0.497,3,4.1,0.724,2.4,7.5,9.9,4.6,1.3,0.8,2.2,2.1,16.4,adebaba01
James Harden,35,LAC,PG,47,47,1589,18.7,0.566,0.513,0.432,2,16.8,9.5,37.7,2.1,1.8,19.3,29.8,1.4,2.6,3.9,0.118,2.5,0.7,3.2,2.1,6.2,15.8,0.393,2.8,8.1,0.341,3.4,7.7,0.448,0.48,6.1,6.8,0.894,0.6,5.1,5.7,8.4,1.5,0.6,4.5,2.1,21.3,hardeja01
