Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
52,Lauri Markkanen,27,UTA,PF,37,37,31.9,6.2,14.7,.424,3.0,8.5,.352,3.2,6.2,.522,.526,3.8,4.5,.861,1.7,4.5,6.2,1.7,0.7,0.4,1.4,1.8,19.3,,markkla01
53,Kristaps Porziņģis,29,BOS,C,26,26,28.6,6.4,13.6,.469,2.5,6.2,.406,3.9,7.5,.521,.561,4.0,4.7,.837,1.7,5.4,7.1,2.1,0.8,1.6,1.0,2.8,19.2,,porzikr01
54,Alperen Şengün,22,HOU,C,47,47,31.4,7.6,15.6,.490,0.3,1.4,.227,7.3,14.1,.516,.500,3.7,5.3,.700,3.5,7.1,10.6,5.0,1.3,0.8,2.4,2.8,19.2,,sengual01
55,De'Andre Hunter,27,ATL,SF,36,3,28.5,6.1,13.3,.459,2.5,6.6,.386,3.6,6.7,.531,.555,4.2,4.9,.858,0.7,3.0,3.8,1.4,0.8,0.1,1.6,2.4,18.9,,huntede01
56,Jalen Johnson,23,ATL,SF,36,36,35.7,7.5,15.1,.500,1.2,3.9,.312,6.3,11.1,.566,.541,2.6,3.5,.746,1.7,8.3,10.0,5.0,1.6,1.0,2.9,1.9,18.9,,johnsja05
57,Julius Randle,30,MIN,PF,48,48,32.6,6.6,14.0,.470,1.5,4.6,.321,5.1,9.4,.542,.522,4.2,5.2,.811,2.1,5.0,7.2,4.5,0.7,0.2,2.8,2.5,18.9,,randlju01
58,Coby White,24,CHI,SG,44,44,32.6,6.3,14.4,.435,3.0,8.2,.370,3.2,6.2,.522,.541,2.9,3.3,.889,0.3,3.0,3.4,4.7,1.0,0.2,2.5,2.3,18.5,,whiteco01
59,Austin Reaves,26,LAL,SG,43,43,34.7,6.1,13.6,.451,2.6,7.0,.372,3.5,6.6,.533,.546,3.6,4.2,.845,0.8,3.5,4.3,6.2,1.1,0.2,2.4,1.9,18.4,,reaveau01
60,Michael Porter Jr.,26,DEN,SF,50,50,33.3,6.9,13.5,.513,2.6,6.3,.408,4.3,7.2,.606,.609,1.9,2.6,.744,1.6,4.8,6.4,2.2,0.6,0.5,1.3,1.9,18.3,,portemi01
61,Collin Sexton,26,UTA,SG,46,44,28.5,6.5,13.6,.478,1.9,4.6,.412,4.6,9.0,.511,.547,3.5,3.9,.894,1.1,1.8,2.9,4.1,0.7,0.1,2.5,2.3,18.3,,sextoco01
62,Mikal Bridges,28,NYK,SF,51,51,38.3,7.5,15.1,.494,2.4,6.6,.360,5.1,8.4,.600,.573,0.9,1.2,.742,0.9,2.2,3.1,3.3,1.0,0.5,1.6,1.5,18.2,,bridgmi01
63,Malik Monk,26,SAC,SG,41,28,32.1,6.7,14.8,.449,2.3,6.9,.331,4.4,7.9,.552,.526,2.6,3.0,.877,0.4,3.4,3.8,5.9,1.0,0.6,2.1,2.6,18.2,,monkma01
64,Anfernee Simons,25,POR,SG,47,47,32.2,6.4,15.3,.422,2.9,8.0,.368,3.5,7.3,.481,.518,2.4,2.6,.895,0.3,2.4,2.8,5.0,0.8,0.1,2.1,1.8,18.2,,simonan01
65,John Collins,27,UTA,PF,31,22,29.9,6.7,12.5,.535,1.5,3.3,.455,5.2,9.3,.563,.594,3.2,3.7,.870,2.3,6.1,8.3,2.3,1.0,1.0,2.6,3.1,18.1,,collijo01
66,Evan Mobley,23,CLE,PF,44,44,29.9,7.0,12.3,.564,1.1,2.8,.385,5.9,9.6,.615,.607,3.0,4.0,.756,2.1,6.9,9.0,2.8,0.9,1.4,1.9,2.0,18.0,,mobleev01
67,Desmond Bane,26,MEM,SG,40,39,30.1,6.8,13.7,.498,2.2,5.6,.384,4.7,8.1,.577,.577,2.1,2.5,.859,1.0,4.7,5.7,5.5,1.2,0.4,2.5,2.4,17.9,,banede01
68,Tyrese Haliburton,24,IND,PG,48,48,34.0,6.1,13.7,.450,2.9,7.9,.366,3.3,5.8,.563,.555,2.7,3.2,.843,0.6,3.0,3.6,8.5,1.3,0.7,1.8,1.3,17.9,,halibty01
69,Jaden Ivey,22,DET,SG,30,30,29.9,6.3,13.8,.460,2.1,5.1,.409,4.2,8.6,.490,.536,2.8,3.9,.733,1.3,2.8,4.1,4.0,0.9,0.4,3.0,2.2,17.6,,iveyja01
70,Andrew Wiggins,29,GSW,SF,43,43,30.1,6.1,13.7,.444,2.2,5.8,.379,3.9,7.9,.491,.524,3.2,4.2,.777,1.5,3.0,4.6,2.3,0.9,0.8,1.3,1.6,17.6,,wiggian01
71,Dejounte Murray,28,NOP,PG,31,31,32.6,6.3,15.9,.393,1.7,5.6,.299,4.6,10.3,.444,.445,3.3,4.0,.823,0.5,5.9,6.5,7.4,2.0,0.4,3.4,2.0,17.5,,murrade01
72,Shaedon Sharpe,21,POR,SG,43,31,30.4,6.4,14.3,.444,1.9,6.1,.318,4.4,8.3,.537,.511,2.6,3.2,.809,0.7,3.1,3.8,2.4,0.8,0.2,1.9,1.9,17.2,,sharpsh01
