Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
16,Devin Booker,28,PHO,SG,44,44,1631,20.6,.592,.414,.373,2.9,8.9,6.0,29.5,1.5,0.7,10.5,29.4,4.2,0.6,4.8,.141,3.5,-1.9,1.6,1.5,,bookede01
17,Pascal Siakam,30,IND,PF,49,49,1621,20.1,.615,.281,.257,6.2,18.3,12.4,15.8,1.3,1.3,7.4,23.5,4.0,1.4,5.4,.159,2.8,-0.6,2.3,1.7,,siakapa01
18,Derrick White,30,BOS,SG,48,48,1621,16.0,.599,.705,.166,3.1,10.5,6.8,17.8,1.3,3.1,10.4,19.4,3.0,2.0,5.0,.147,2.4,0.5,2.8,2.0,,whitede01
19,Keegan Murray,24,SAC,PF,46,46,1619,11.3,.537,.518,.098,6.8,15.3,11.1,5.2,1.1,2.3,7.1,14.7,1.2,1.3,2.5,.074,-1.4,-1.0,-2.3,-0.1,,murrake02
20,Nikola Vučević,34,CHI,C,50,50,1614,21.2,.630,.316,.149,7.8,25.4,16.7,17.0,1.3,1.9,9.4,22.3,3.9,1.7,5.6,.167,3.0,0.0,2.9,2.0,,vucevni01
21,Shai Gilgeous-Alexander,26,OKC,PG,47,47,1604,31.0,.644,.263,.393,2.8,13.3,8.1,30.6,2.8,3.1,9.8,34.8,7.1,3.5,10.6,.317,8.6,3.3,11.9,5.7,,gilgesh01
22,Nikola Jokić,29,DEN,C,44,44,1600,33.1,.660,.221,.319,9.9,28.2,19.5,45.1,2.4,1.7,12.3,29.7,8.4,2.4,10.8,.324,10.7,3.4,14.1,6.5,,jokicni01
23,Christian Braun,23,DEN,SG,49,47,1599,15.1,.654,.269,.267,4.5,11.4,8.1,8.0,1.6,1.4,8.3,15.6,3.3,1.1,4.4,.133,0.2,-0.7,-0.5,0.6,,braunch01
24,Karl-Anthony Towns,29,NYK,C,46,46,1597,25.0,.640,.281,.347,10.7,33.7,22.4,14.5,1.4,2.1,11.6,26.8,5.1,2.4,7.5,.226,4.4,0.1,4.5,2.6,,townska01
25,Tyrese Maxey,24,PHI,PG,42,42,1597,21.2,.573,.444,.274,0.8,10.3,5.3,29.4,2.5,1.1,9.3,31.0,3.1,1.2,4.2,.128,4.2,-0.8,3.4,2.2,,maxeyty01
26,Fred VanVleet,30,HOU,PG,45,45,1596,13.6,.521,.595,.174,1.9,10.0,5.8,22.6,2.2,1.1,10.0,18.1,2.1,2.2,4.3,.129,0.2,1.3,1.4,1.4,,vanvlfr01
27,Bam Adebayo,27,MIA,C,47,47,1594,17.7,.535,.188,.303,8.0,23.7,15.9,21.5,1.9,2.2,12.5,22.8,1.4,2.4,3.8,.114,-0.1,0.9,0.9,1.1,,adebaba01
28,James Harden,35,LAC,PG,47,47,1589,18.7,.566,.513,.432,2.0,16.8,9.5,37.7,2.1,1.8,19.3,29.8,1.4,2.6,3.9,.118,2.5,0.7,3.2,2.1,,hardeja01
29,Jamal Murray,27,DEN,PG,44,44,1583,16.9,.562,.340,.220,2.0,10.0,6.2,23.4,1.9,1.4,10.8,23.9,2.3,1.2,3.5,.106,0.8,-0.9,-0.1,0.8,,murraja01
30,Kelly Oubre Jr.,29,PHI,SF,46,43,1580,13.3,.543,.349,.247,5.3,16.9,10.8,8.6,2.1,1.4,9.1,18.7,0.9,1.4,2.3,.070,-1.6,-0.4,-2.0,0.0,,oubreke01
31,DeMar DeRozan,35,SAC,SF,44,44,1577,17.2,.569,.163,.322,1.7,9.9,5.8,15.3,1.5,1.1,6.6,24.3,2.7,1.0,3.8,.115,0.3,-0.9,-0.6,0.6,,derozde01
32,Toumani Camara,24,POR,PF,49,49,1575,11.7,.569,.494,.182,7.5,12.1,9.8,8.8,2.1,1.7,14.1,13.8,1.3,1.2,2.5,.076,-1.3,0.3,-1.0,0.4,,camarto01
33,Jaden McDaniels,24,MIN,PF,50,50,1568,12.2,.556,.414,.152,5.2,13.8,9.6,7.7,2.3,2.6,10.1,15.2,1.1,2.4,3.5,.107,-2.0,1.7,-0.3,0.7,,mcdanja02
34,Julius Randle,30,MIN,PF,48,48,1564,17.2,.578,.328,.370,7.4,16.9,12.3,22.0,1.1,0.7,14.8,25.6,2.3,1.9,4.2,.128,1.1,-0.3,0.8,1.1,,randlju01
35,Jaylen Brown,28,BOS,SF,44,44,1559,17.9,.550,.326,.290,4.5,14.3,9.4,22.3,1.6,0.7,11.1,29.0,1.8,2.0,3.7,.115,0.6,-0.6,0.0,0.8,,brownja02
36,LeBron James,40,LAL,SF,45,45,1557,23.0,.601,.304,.246,2.9,21.4,12.4,44.7,1.2,1.4,16.0,30.4,3.2,1.6,4.8,.147,5.1,0.4,5.4,2.9,,jamesle01
37,Tobias Harris,32,DET,PF,48,48,1541,12.9,.544,.353,.189,3.1,17.7,10.4,10.4,1.3,2.5,8.4,17.4,1.2,1.6,2.8,.088,-1.1,0.3,-0.9,0.4,,harrito02
38,Ivica Zubac,27,LAC,C,48,48,1531,21.0,.617,.000,.258,13.4,30.4,22.0,12.4,1.1,3.6,12.2,18.9,3.2,2.9,6.1,.192,1.4,0.8,2.2,1.6,,zubaciv01
39,Dillon Brooks,29,HOU,SF,47,47,1517,10.2,.542,.514,.133,4.0,8.8,6.3,6.5,1.2,0.6,7.8,17.3,1.4,1.6,3.0,.096,-1.8,-0.2,-2.0,0.0,,brookdi01
40,Dyson Daniels,21,ATL,SG,45,45,1517,14.5,.527,.293,.144,5.3,11.9,8.5,16.0,4.2,2.2,12.8,18.0,0.3,2.2,2.5,.078,-1.9,2.6,0.7,1.0,,daniedy01
41,Anfernee Simons,25,POR,SG,47,47,1515,14.6,.553,.522,.173,1.1,8.3,4.7,24.3,1.3,0.3,11.3,24.2,1.8,0.5,2.3,.073,1.4,-1.9,-0.5,0.6,,simonan01
42,Brook Lopez,36,MIL,C,47,47,1510,13.3,.591,.532,.139,3.9,11.6,7.9,7.4,1.1,5.7,8.9,15.2,1.4,1.7,3.2,.100,-0.4,0.5,0.1,0.8,,lopezbr01
43,Donovan Mitchell,28,CLE,SG,48,48,1500,21.2,.585,.500,.220,2.4,12.7,7.7,22.7,2.2,0.6,8.9,30.6,3.3,1.8,5.1,.164,4.0,-0.2,3.9,2.2,,mitchdo01
44,Bilal Coulibaly,20,WAS,SF,45,45,1492,11.1,.521,.366,.312,4.3,11.3,7.7,14.6,1.9,2.1,14.6,17.6,-0.2,0.5,0.4,.011,-2.8,-0.7,-3.5,-0.6,,coulibi01
45,Bennedict Mathurin,22,IND,SF,47,42,1490,13.0,.581,.341,.319,4.4,15.6,10.1,8.0,0.9,1.1,12.4,21.7,0.7,1.0,1.7,.055,-1.6,-1.8,-3.4,-0.5,,mathube01
46,Austin Reaves,26,LAL,SG,43,43,1490,16.8,.596,.514,.309,2.7,11.1,7.0,26.2,1.6,0.4,13.5,22.8,2.6,1.0,3.6,.117,1.8,-0.9,0.9,1.1,,reaveau01
